date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:24:42	2535/2535	---M-Z	200	added ('OK')	text/html	etag:W/%222444-PAr4cGgMssxItzVeQD8iwpXGbV0%22	https://codare.fun/robots.txt		(from )
09:24:42	26199/26199	---M-Z	200	added ('OK')	text/html	etag:W/%226657-Siwbw8AXQ+LrGaVp+lSRjKtEtOI%22	https://codare.fun/	C:/Benim%20Web%20Sitem/codare/codare.fun/index.html	(from )
09:24:44	0/0	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:45%20GMT	https://images-ext-2.discordapp.net/external/mJwUmCZlfjdL266hGGYrdiz1Xa1syiD9UdwIAU3AzAg/%3Fsize%3D1024/https/cdn.discordapp.com/icons/685767837591142404/a_668db0e197bcc75e8c463b93cced3c7d.gif	C:/Benim%20Web%20Sitem/codare/images-ext-2.discordapp.net/external/mJwUmCZlfjdL266hGGYrdiz1Xa1syiD9UdwIAU3AzAg/_size=1024/https/cdn.discordapp.com/icons/685767837591142404/a_668db0e197bcc75e8c463b93cced3c7d.0.delayed	(from https://codare.fun/)
09:24:44	159515/159515	---M-Z	200	added ('OK')	text/css	etag:%221574963566%22	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/Benim%20Web%20Sitem/codare/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://codare.fun/)
09:24:45	72380/72380	---M-Z	200	added ('OK')	application/javascript	etag:W/%225eb09f0f-11abc%22	https://code.jquery.com/jquery-3.5.1.slim.min.js	C:/Benim%20Web%20Sitem/codare/code.jquery.com/jquery-3.5.1.slim.min.js	(from https://codare.fun/)
09:24:45	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	C:/Benim%20Web%20Sitem/codare/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://codare.fun/)
09:24:46	60174/60174	---M-Z	200	added ('OK')	text/javascript	etag:%221589304429%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	C:/Benim%20Web%20Sitem/codare/stackpath.bootstrapcdn.com/bootstrap/4.5.0/js/bootstrap.min.js	(from https://codare.fun/)
09:24:46	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:37%20GMT	https://codare.fun/kategori/js	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/js	(from https://codare.fun/)
09:24:46	517336/517336	---M--	200	added ('OK')	image/gif	date:Tue,%2014%20Jul%202020%2016:19:01%20GMT	https://images-ext-2.discordapp.net/external/o5_CdvojtbiqP7gf4p0fZbc4TA-2rUGb42nsBmlDcDU/https/images-ext-1.discordapp.net/external/hP--_u31hRBbgRD5YOKH9OXQOLseUeEOJEMb3eiIHmg/https/media.discordapp.net/attachments/715886415296069652/732632254303436880/a_668db0e197bcc75e8c463b93cced3c7d_2.gif	C:/Benim%20Web%20Sitem/codare/images-ext-2.discordapp.net/external/o5_CdvojtbiqP7gf4p0fZbc4TA-2rUGb42nsBmlDcDU/https/images-ext-1.discordapp.net/external/hP--_u31hRBbgRD5YOKH9OXQOLseUeEOJEMb3eiIHmg/https/media.discor/a_668db0e197bcc75e8c463	(from https://codare.fun/)
09:24:46	131880/131880	---MC-	200	added ('OK')	text/javascript	date:Fri,%2020%20Nov%202020%2006:24:48%20GMT	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/Benim%20Web%20Sitem/codare/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://codare.fun/)
09:24:47	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:38%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:47	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:38%20GMT	https://codare.fun/kategori/html	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/html	(from https://codare.fun/)
09:24:48	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:38%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:48	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:39%20GMT	https://codare.fun/kategori/py	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/py	(from https://codare.fun/)
09:24:48	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:39%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:49	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:40%20GMT	https://codare.fun/kategori/diger	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/diger	(from https://codare.fun/)
09:24:49	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:40%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:49	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:40%20GMT	https://codare.fun/kategori/jsplus	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/jsplus	(from https://codare.fun/)
09:24:50	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:41%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:50	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:41%20GMT	https://codare.fun/kategori/altyapi	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/altyapi	(from https://codare.fun/)
09:24:50	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:41%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:51	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:42%20GMT	https://codare.fun/kategori/booster	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/booster	(from https://codare.fun/)
09:24:51	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:42%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:51	22895/22895	---MCZ	200	added ('OK')	text/html	etag:W/%22596f-GCWa9i7zWCHLOyVR74/lOHA9bVM%22	https://codare.fun/sss	C:/Benim%20Web%20Sitem/codare/codare.fun/sss.html	(from https://codare.fun/)
09:24:52	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:43%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/)
09:24:52	9284/9284	---M-Z	200	added ('OK')	text/html	etag:W/%222444-PAr4cGgMssxItzVeQD8iwpXGbV0%22	https://codare.fun/discord	C:/Benim%20Web%20Sitem/codare/codare.fun/discord.html	(from https://codare.fun/)
09:24:53	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:44%20GMT	https://codare.fun/kategori/js	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/js	(from https://codare.fun/sss)
09:24:53	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:44%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
09:24:53	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:44%20GMT	https://codare.fun/kategori/html	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/html	(from https://codare.fun/sss)
09:24:54	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:45%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
09:24:54	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:45%20GMT	https://codare.fun/kategori/py	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/py	(from https://codare.fun/sss)
09:24:54	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:45%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
09:24:55	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:46%20GMT	https://codare.fun/kategori/diger	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/diger	(from https://codare.fun/sss)
09:24:55	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:46%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
09:24:56	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:46%20GMT	https://codare.fun/kategori/jsplus	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/jsplus	(from https://codare.fun/sss)
09:24:56	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:47%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
09:24:56	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:47%20GMT	https://codare.fun/kategori/altyapi	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/altyapi	(from https://codare.fun/sss)
09:24:57	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:48%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
09:24:57	56/56	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:48%20GMT	https://codare.fun/kategori/booster	C:/Benim%20Web%20Sitem/codare/codare.fun/kategori/booster	(from https://codare.fun/sss)
09:24:57	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:48%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
09:24:58	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2020%20Nov%202020%2006:24:49%20GMT	https://codare.fun/giris	C:/Benim%20Web%20Sitem/codare/codare.fun/giris	(from https://codare.fun/sss)
